starring-inv, birthplace, description, height
country, occupation, activeyearsstartyear, genre, instrument, activeyearsendyear
country, award, birthyear, birthplace, genre
deathyear, birthyear, nationality, birthplace, description, deathplace
starring-inv, country, birthplace, bandmember-inv, description, associatedact
starring-inv, country, occupation, birthyear, birthplace, activeyearsstartyear, recordlabel, description
birthyear, birthplace, ethnicity, description
starring-inv, country, occupation, birthplace, recordlabel, bandmember-inv, genre, associatedact
starring-inv, country, influenced, genre, description, voicetype
starring-inv, influenced-inv, type-inv, country
country, occupation, deathyear, birthplace, description, deathplace, activeyearsendyear
country, genre, voicetype, activeyearsendyear
starring-inv, country, birthplace, description, deathplace, activeyearsendyear
starring-inv, country, occupation, birthplace, presenter-inv
starring-inv, country, artist-inv, occupation, birthplace, genre
country, occupation, birthyear, genre, deathplace
starring-inv, country, birthplace, genre, description, voicetype
occupation, deathyear, deathdate
starring-inv, country, birthplace, child
starring-inv, country, rdf-schema#seealso, occupation, birthplace, activeyearsstartyear, recordlabel, genre, description, instrument, associatedact, currentmember-inv
occupation, deathyear, birthyear, birthplace, description, deathplace
portrayer-inv, country, activeyearsstartyear
country, award, occupation, birthplace, activeyearsstartyear, recordlabel, genre, instrument
country, education, description
artist-inv, musicalband-inv, description, musicalartist-inv
occupation, deathyear, activeyearsstartyear, description
starring-inv, country, director-inv, award, birthplace
starring-inv, country, artist-inv, occupation, birthplace, endingtheme-inv
occupation, birthyear, field
country, occupation, nationality, birthplace, stateoforigin, description, deathplace
starring-inv, country, occupation, showjudge-inv
deathyear, nationality, birthplace, deathplace, activeyearsendyear
starring-inv, country, showjudge-inv, genre
starring-inv, portrayer-inv, description
starring-inv, birthyear, height
country, endingtheme-inv, alias
country, award, occupation, birthyear, birthplace
country, birthplace, showjudge-inv, genre
starring-inv, portrayer-inv, country, recordlabel
starring-inv, country, award, occupation, birthplace, writer-inv, producer-inv
starring-inv, country, occupation, narrator-inv
country, birthyear, bandmember-inv, genre
country, birthplace, influencedby
birthyear, nationality, birthplace, activeyearsstartyear, description, deathplace
starring-inv, country, birthplace, activeyearsstartyear, recordlabel, genre, pastmember-inv, associatedact
starring-inv, country, occupation, birthplace, partner-inv
occupation, height
country, deathyear, birthyear, birthplace, deathplace
country, occupation, recordlabel, genre, description, voicetype
nationality, name
