"writer","childLabel","parentLabel","spouseLabel"
"http://dbpedia.org/resource/Mary_Turzillo",,"Hosni Mubarak","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Mike Jones (defensive lineman)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Naruhito, Crown Prince of Japan","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Prince Andrew, Duke of York","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Prince Andrew, Duke of York","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Beatrix of the Netherlands","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Beatrix of the Netherlands","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Beatrix of the Netherlands","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Brian Burke (ice hockey)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Vajiralongkorn","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Vajiralongkorn","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Vajiralongkorn","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Al-Muhtadee Billah","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Albert II of Belgium","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Albert II of Belgium","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Hassanal Bolkiah","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Hassanal Bolkiah","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Hassanal Bolkiah","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Hassanal Bolkiah","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Mike Wallace","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Afonso I, Duke of Braganza","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Alec Baldwin","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Antony Armstrong-Jones, 1st Earl of Snowdon","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Edward Hyde, 1st Earl of Clarendon","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Edward Seymour, 1st Duke of Somerset","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Edward Seymour, 1st Duke of Somerset","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Edward Seymour, 1st Duke of Somerset","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Edward Seymour, 1st Duke of Somerset","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Esmé Stewart, 1st Duke of Lennox","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Frederic Thesiger, 1st Baron Chelmsford","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Henry of Grosmont, 1st Duke of Lancaster","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Hermann Göring","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Hugh Grosvenor, 1st Duke of Westminster","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Humphrey Stafford, 1st Duke of Buckingham","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Humphrey Stafford, 1st Duke of Buckingham","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Humphrey Stafford, 1st Duke of Buckingham","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"John Barrington, 1st Viscount Barrington","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"John Churchill, 1st Duke of Marlborough","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"John Talbot, 1st Earl of Shrewsbury","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"John Talbot, 1st Earl of Shrewsbury","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"John of Gaunt, 1st Duke of Lancaster","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"John of Gaunt, 1st Duke of Lancaster","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"John of Gaunt, 1st Duke of Lancaster","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"John of Gaunt, 1st Duke of Lancaster","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"John of Gaunt, 1st Duke of Lancaster","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"John of Gaunt, 1st Duke of Lancaster","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"John of Gaunt, 1st Duke of Lancaster","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Lord Edward Somerset","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Louis Mountbatten, 1st Earl Mountbatten of Burma","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Luitpold, Prince Regent of Bavaria","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Luitpold, Prince Regent of Bavaria","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Luitpold, Prince Regent of Bavaria","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Luitpold, Prince Regent of Bavaria","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Mary Stuart, Countess of Bute","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Mary Stuart, Countess of Bute","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Michael de la Pole, 1st Earl of Suffolk","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Prince Leopold of Bavaria","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Prince Leopold of Bavaria","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Prince Leopold of Bavaria","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Prince Leopold of Bavaria","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Randal MacDonnell, 1st Earl of Antrim","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Recep Tayyip Erdoğan","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Recep Tayyip Erdoğan","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Richard Curzon-Howe, 1st Earl Howe","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Robert, 1st Earl of Gloucester","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Robert, 1st Earl of Gloucester","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Rupprecht, Crown Prince of Bavaria","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Rupprecht, Crown Prince of Bavaria","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Rupprecht, Crown Prince of Bavaria","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Sir George Elliot, 1st Baronet","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Thomas Arundell, 1st Baron Arundell of Wardour","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Thomas Howard, 1st Earl of Suffolk","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Thomas Howard, 1st Earl of Suffolk","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Thomas Howard, 1st Earl of Suffolk","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Til Schweiger","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Til Schweiger","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Til Schweiger","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Yixuan, Prince Chun","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Yixuan, Prince Chun","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Yixuan, Prince Chun","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Yixuan, Prince Chun","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Salahuddin of Selangor","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Salahuddin of Selangor","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Hamad bin Khalifa Al Thani","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Hamad bin Khalifa Al Thani","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Hamad bin Khalifa Al Thani","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Hamad bin Khalifa Al Thani","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Hamad bin Khalifa Al Thani","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Hamad bin Khalifa Al Thani","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ahmed Jibril","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Frank Lowy","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Richard Pratt (Australian businessman)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"H. Irving Grousbeck","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"John Kerry","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Mizan Zainal Abidin of Terengganu","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"William Clay Ford Sr.","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"José Eduardo dos Santos","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"José Eduardo dos Santos","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Laura Bush","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Laura Bush","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Mike Huckabee","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Mitt Romney","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"James Yap","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Pradeep Kumar","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Barry Hearn","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Gilan","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Martha Firestone Ford","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Peter Rodger","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Lawyer","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ann Walton Kroenke","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Ann Walton Kroenke","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Acolmiztli (Coatl Ichan)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Acolnahuacatzin","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Antiochus IV Epiphanes","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Antiochus IV Epiphanes","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Dou Wei","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Henry Acland","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Lloque Yupanqui","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Marjorie Acker Phillips","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Sarah Acland","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Sir Francis Dyke Acland, 14th Baronet","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Tezozomoc (Azcapotzalco)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Tezozomoc (Azcapotzalco)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Tezozomoc (Azcapotzalco)","Geoffrey A. Landis"
"http://dbpedia.org/resource/Mary_Turzillo",,"Tezozomoc (Azcapotzalco)","Geoffrey A. Landis"
