"a","birthPlaceLabel","nationalityLabel","deathPlaceLabel"
"http://dbpedia.org/resource/Erlend_Loe","Trondheim","Norwegian",
"http://dbpedia.org/resource/Robert_Keable","Bedfordshire","British",
"http://dbpedia.org/resource/Ken_Shadie","Bondi, New South Wales","Australian",
"http://dbpedia.org/resource/Dorothy_Cowlin","Grantham","British",
"http://dbpedia.org/resource/Ramón_Mujica_Pinilla","Peru","Peruvian, Spanish",
"http://dbpedia.org/resource/Martha_Shelley","Brooklyn, New York","American",
"http://dbpedia.org/resource/Helen_Hooven_Santmyer","Cincinnati","American",
"http://dbpedia.org/resource/David_Gates_(author)","Middletown, Connecticut","American",
"http://dbpedia.org/resource/Dorothea_Lasky","St. Louis, Missouri","American",
"http://dbpedia.org/resource/John_Cloake","Wimbledon, London","British",
"http://dbpedia.org/resource/Soheir_Khashoggi","Alexandria","Saudi Arabian",
"http://dbpedia.org/resource/Kevin_Connolly_(writer)","Biloxi","Canadian",
"http://dbpedia.org/resource/Ramón_Mujica_Pinilla","Lima","Peruvian, Spanish",
"http://dbpedia.org/resource/Kevin_Brockmeier","Little Rock","American",
"http://dbpedia.org/resource/Primo_Levi","Turin","Italian",
"http://dbpedia.org/resource/Sharron_McClellan","Zaragoza","American",
"http://dbpedia.org/resource/Fernando_Sabino","Belo Horizonte","Brazilian",
"http://dbpedia.org/resource/Tsvi_Misinai","British Mandate of Palestine","Israeli",
"http://dbpedia.org/resource/Leila_Aboulela","Cairo","Sudanese",
"http://dbpedia.org/resource/Karly_Gaitán_Morales","Nicaragua","Nicaraguan",
"http://dbpedia.org/resource/Kathryn_Casey","Wauwatosa, Wisconsin","United States",
"http://dbpedia.org/resource/Ritu_Lalit","Delhi","Indian 20px",
"http://dbpedia.org/resource/Mikhail_P._Kulakov","Leningrad","Russian",
"http://dbpedia.org/resource/Elizabeth_Bentley_(writer)","Norwich","British",
"http://dbpedia.org/resource/David_Housewright","Saint Paul, Minnesota","American",
"http://dbpedia.org/resource/David_Wojahn","Saint Paul, Minnesota","United States of America",
"http://dbpedia.org/resource/Elizabeth_Berg_(author)","Saint Paul, Minnesota","American",
"http://dbpedia.org/resource/Tsvi_Misinai","Jerusalem","Israeli",
"http://dbpedia.org/resource/John_Drinkwater_(playwright)","Leytonstone","British",
"http://dbpedia.org/resource/Norma_Davis","Tasmania","Australian",
"http://dbpedia.org/resource/William_Marchant_(playwright)","Allentown, Pennsylvania","American",
"http://dbpedia.org/resource/Adolph_Murie","Moorhead, Minnesota","American",
"http://dbpedia.org/resource/José_Craveirinha","Maputo","Mozambican",
"http://dbpedia.org/resource/José_Craveirinha","Portuguese Mozambique","Mozambican",
"http://dbpedia.org/resource/Michael_Arnzen","Amityville, New York","American",
"http://dbpedia.org/resource/Davide_Cali","Liestal","Italian",
"http://dbpedia.org/resource/Dorothee_Elmiger","Wetzikon","Swiss",
"http://dbpedia.org/resource/Siegfried_Einstein","Laupheim","German",
"http://dbpedia.org/resource/Eliza_Acton","Battle, East Sussex","English",
"http://dbpedia.org/resource/David_Whyte_(poet)","Mirfield","British, American",
"http://dbpedia.org/resource/Fyodor_Glinka","Smolensk Oblast","Russian",
"http://dbpedia.org/resource/Chris_Valentino","Waterbury","American",
"http://dbpedia.org/resource/Amelia_Reynolds_Long","Columbia, Pennsylvania","United States",
"http://dbpedia.org/resource/Ben_Lerner","Topeka","United States",
"http://dbpedia.org/resource/Kevin_Prufer","Cleveland","American",
"http://dbpedia.org/resource/Martha_Brockenbrough","Seattle, Washington","American",
"http://dbpedia.org/resource/Sender_Garlin","Białystok","American",
"http://dbpedia.org/resource/Dorothy_Johnston","Geelong","Australian",
"http://dbpedia.org/resource/Giovanni_Ruffini","Genoa","Italian",
"http://dbpedia.org/resource/Kevin_Brockmeier","Little Rock, Arkansas","American",
"http://dbpedia.org/resource/Elizabeth_Kostova","New London, Connecticut","American",
"http://dbpedia.org/resource/Karlous_Miller","Oxford, Mississippi","American",
"http://dbpedia.org/resource/E._E._Smith","Sheboygan, Wisconsin","American",
"http://dbpedia.org/resource/Ben_Lerner","Topeka, Kansas","United States",
"http://dbpedia.org/resource/Gwendolyn_Brooks","Topeka, Kansas","American",
"http://dbpedia.org/resource/Seth_Grahame-Smith","Rockville Centre, New York","American",
"http://dbpedia.org/resource/Michael_Sedge","Flint, Michigan","American",
"http://dbpedia.org/resource/Sharron_McClellan","Zaragoza, Spain","American",
"http://dbpedia.org/resource/David_Housewright","St. Paul, Minnesota","American",
"http://dbpedia.org/resource/Marta_Rivera_de_la_Cruz","Galicia (Spain)","Spain",
"http://dbpedia.org/resource/Scott_Heim","Hutchinson, Kansas","American",
"http://dbpedia.org/resource/Marilyn_Roberts","North Lincolnshire","British",
"http://dbpedia.org/resource/Genevieve_Foster","Oswego, New York","American",
"http://dbpedia.org/resource/Sharon_Tregenza","Penzance","British",
"http://dbpedia.org/resource/Harold_L._Humes","Douglas, Arizona","American",
"http://dbpedia.org/resource/Arthur_C._Clarke","Minehead","British",
"http://dbpedia.org/resource/Zane_Grey","Zanesville, Ohio","American",
"http://dbpedia.org/resource/Harald_Sverdrup_(writer)","Lofoten","Norwegian",
"http://dbpedia.org/resource/Risteard_Ó_Foghludha","County Cork","Irish",
"http://dbpedia.org/resource/Elisha_Winfield_Green","Bourbon County, Kentucky","United States",
"http://dbpedia.org/resource/Subramanian_Krishnamoorthy","Pudukkottai","Indian",
"http://dbpedia.org/resource/Norm_Rice_(cartoonist)","Newtown, New South Wales","Australian",
"http://dbpedia.org/resource/Fernando_Soto_Aparicio","Boyacá Department","Colombian",
"http://dbpedia.org/resource/David_Hajdu","Phillipsburg, New Jersey","US",
"http://dbpedia.org/resource/Joyce_Carol_Thomas","Ponca City, Oklahoma","American",
"http://dbpedia.org/resource/Leila_Aboulela","Khartoum","Sudanese",
"http://dbpedia.org/resource/Sophie_el_Goulli","Sousse","Tunisian",
"http://dbpedia.org/resource/Taylor_MH","Stourbridge","British",
"http://dbpedia.org/resource/Jay_Asher","Arcadia, California","American",
"http://dbpedia.org/resource/Frederic_M._Halford","Birmingham, England","British",
"http://dbpedia.org/resource/James_Leasor","Erith","British",
"http://dbpedia.org/resource/Eliza_Acton","Battle, Sussex","English",
"http://dbpedia.org/resource/David_W._Orr","Des Moines","American",
"http://dbpedia.org/resource/Chuck_Wendig","New Hope, Pennsylvania","United States",
"http://dbpedia.org/resource/Alberto_Acereda","Calahorra","American",
"http://dbpedia.org/resource/Giovanni_Ruffini","First French Empire","Italian",
"http://dbpedia.org/resource/Roger_McDonald","Young, New South Wales","Australian",
"http://dbpedia.org/resource/Sarah_Monette","Oak Ridge, Tennessee","American",
"http://dbpedia.org/resource/A._E._Housman","Bromsgrove","British",
"http://dbpedia.org/resource/Carl_Sandburg","Galesburg, Illinois","American",
"http://dbpedia.org/resource/Scott_Flansburg","Herkimer (village), New York","American",
"http://dbpedia.org/resource/Veturi_Prabhakara_Sastri","Krishna district","Indian",
"http://dbpedia.org/resource/Syama_Sastri","Thiruvarur","Indian",
"http://dbpedia.org/resource/Syama_Sastri","Tiruvarur","Indian",
"http://dbpedia.org/resource/Veturi_Prabhakara_Sastri","Krishna District","Indian",
"http://dbpedia.org/resource/Shivmangal_Singh_Suman","Unnao district","Indian",
"http://dbpedia.org/resource/Don_Brown_(author)","Plymouth, North Carolina","American",
"http://dbpedia.org/resource/Syama_Sastri","Thanjavur district","Indian",
"http://dbpedia.org/resource/Marija_Knežević","SFRY","Serbian",
"http://dbpedia.org/resource/Peter_Ackroyd","East Acton","British",
"http://dbpedia.org/resource/Kevin_Conner","Carlton, Victoria","Australian",
"http://dbpedia.org/resource/Steven-Elliot_Altman","Long Beach, New York","American",
