"writer","birthPlaceLabel","nationality","country","deathPlaceLabel"
"http://dbpedia.org/resource/Antony_Beevor","England","British",,
"http://dbpedia.org/resource/Sue_Grafton","Louisville, Kentucky","American",,
"http://dbpedia.org/resource/Peter_Morgan","England","British",,
"http://dbpedia.org/resource/Peter_Morgan","London","British",,
"http://dbpedia.org/resource/Eliza_Robertson","Canada",,"http://dbpedia.org/resource/Canada",
"http://dbpedia.org/resource/Flavia_Bujor","Bucharest",,"http://dbpedia.org/resource/France",
"http://dbpedia.org/resource/Karleen_Pendleton_Jiménez","Los Angeles",,"http://dbpedia.org/resource/Canada",
"http://dbpedia.org/resource/Sampadananda_Mishra","India",,"http://dbpedia.org/resource/India",
"http://dbpedia.org/resource/Sigismund_von_Schlichting","Berlin",,"http://dbpedia.org/resource/Germany",
"http://dbpedia.org/resource/Kazunori_Itō","Japan",,"http://dbpedia.org/resource/Japan",
"http://dbpedia.org/resource/Marilyn_Duckworth","Auckland",,,
"http://dbpedia.org/resource/Clive_James","Australia",,,
"http://dbpedia.org/resource/Tod_Goldberg","Berkeley, California",,,
"http://dbpedia.org/resource/Eliza_Lee_Cabot_Follen","Boston",,,
"http://dbpedia.org/resource/Rita_Steblin","British Columbia",,,
"http://dbpedia.org/resource/Elizabeth_Bachinsky","Canada",,,
"http://dbpedia.org/resource/Sheryl_McFarlane","Canada",,,
"http://dbpedia.org/resource/Sheree_Bradford-Lea","Canada",,,
"http://dbpedia.org/resource/Yu_Hua_(author)","China",,,
"http://dbpedia.org/resource/David_Hines","England",,,
"http://dbpedia.org/resource/David_Whitley","England",,,
"http://dbpedia.org/resource/David_Wood_(actor)","England",,,
"http://dbpedia.org/resource/Dorothy_Koomson","England",,,
"http://dbpedia.org/resource/Pico_Iyer","England",,,
"http://dbpedia.org/resource/David_Gilbert_(author)","France",,,
"http://dbpedia.org/resource/Pavan_Choudary","India",,,
"http://dbpedia.org/resource/Flavia_Agnes","India",,,
"http://dbpedia.org/resource/Rita_Banerji","India",,,
"http://dbpedia.org/resource/Subbaraya_Sastri","India",,,
"http://dbpedia.org/resource/David_Grossman","Israel",,,
"http://dbpedia.org/resource/Etgar_Keret","Israel",,,
"http://dbpedia.org/resource/Luciano_De_Crescenzo","Italy",,,
"http://dbpedia.org/resource/Dardano_Sacchetti","Italy",,,
"http://dbpedia.org/resource/Shuichi_Yoshida","Japan",,,
"http://dbpedia.org/resource/Nicholas_Fisk","London",,,
"http://dbpedia.org/resource/Dorothy_Koomson","London",,,
"http://dbpedia.org/resource/Chuck_Perkins","Louisiana",,,
"http://dbpedia.org/resource/Flavia_Agnes","Mumbai",,,
"http://dbpedia.org/resource/W._Burlie_Brown","New Orleans",,,
"http://dbpedia.org/resource/Chuck_Perkins","New Orleans",,,
"http://dbpedia.org/resource/Mary_Anderson_(author)","New York, New York",,,
"http://dbpedia.org/resource/Mercedes_de_Acosta","New York City","American",,"New York City"
"http://dbpedia.org/resource/David_Halberstam","New York City","American",,"Menlo Park, California"
"http://dbpedia.org/resource/Dorothea_Grossman","Pennsylvania","American",,"Los Angeles"
"http://dbpedia.org/resource/Dorothea_Grossman","Philadelphia","American",,"Los Angeles"
"http://dbpedia.org/resource/Dorothea_Grossman","Pennsylvania","American",,"California"
"http://dbpedia.org/resource/Dorothea_Grossman","Philadelphia","American",,"California"
"http://dbpedia.org/resource/Elise_Cowen","New York (state)","American",,"New York (state)"
"http://dbpedia.org/resource/Elise_Cowen","New York (state)","American",,"Washington Heights, Manhattan"
"http://dbpedia.org/resource/Stanley_Kunitz","United States","United States",,"New York City, New York"
"http://dbpedia.org/resource/Stanley_Kunitz","United States","United States",,"New York City"
"http://dbpedia.org/resource/Stanley_Kunitz","United States","United States",,"United States"
"http://dbpedia.org/resource/Irving_Howe","New York City","American",,"New York City"
"http://dbpedia.org/resource/Irving_Howe","New York City","American",,"Manhattan"
"http://dbpedia.org/resource/Karla_Kuskin","New York City","American",,"Seattle"
"http://dbpedia.org/resource/Karla_Kuskin","New York City","American",,"Washington (state)"
"http://dbpedia.org/resource/Mikhail_P._Kulakov","Saint Petersburg","Russian",,"Highland, California"
"http://dbpedia.org/resource/William_Marchant_(playwright)","Pennsylvania","American",,"Paramus, New Jersey"
"http://dbpedia.org/resource/William_Marchant_(playwright)","Pennsylvania","American",,"New Jersey"
"http://dbpedia.org/resource/Percival_Wilde","New York City","American",,"New York City"
"http://dbpedia.org/resource/Percy_Qoboza","South Africa","South African",,"South Africa"
"http://dbpedia.org/resource/Percy_Qoboza","South Africa","South African",,"Johannesburg"
"http://dbpedia.org/resource/Pere_Calders","Spain","Spanish",,"Spain"
"http://dbpedia.org/resource/Pere_Calders","Spain","Spanish",,"Barcelona"
"http://dbpedia.org/resource/Pere_Calders","Spain","Spanish",,"Catalonia"
"http://dbpedia.org/resource/Amelia_Reynolds_Long","Pennsylvania","United States",,"Harrisburg, Pennsylvania"
"http://dbpedia.org/resource/Amelia_Reynolds_Long","Pennsylvania","United States",,"Pennsylvania"
"http://dbpedia.org/resource/Federico_Uruburu","Spain",,,"Porto"
"http://dbpedia.org/resource/Jan_Beneš_(writer)","Prague",,,"Czech Republic"
"http://dbpedia.org/resource/Semyon_Yushkevich","Odessa",,,"France"
"http://dbpedia.org/resource/Shlomo_Zemach","Poland",,,"Israel"
"http://dbpedia.org/resource/David_Burliuk","United States",,,"New York (state)"
"http://dbpedia.org/resource/David_Burliuk","United States",,,"New York City"
"http://dbpedia.org/resource/Philip_Barry","New York (state)",,,"New York City"
"http://dbpedia.org/resource/Ulfat_Idilbi","Syria",,,"Paris"
"http://dbpedia.org/resource/Semyon_Yushkevich","Odessa",,,"Paris"
"http://dbpedia.org/resource/Eliška_Krásnohorská","Prague",,,"Prague"
"http://dbpedia.org/resource/Raymond_Souster","Toronto",,,"Toronto"
"http://dbpedia.org/resource/Dorothy_Whipple","United Kingdom",,,"United Kingdom"
"http://dbpedia.org/resource/N._Richard_Nash","Pennsylvania",,,"United States"
"http://dbpedia.org/resource/N._Richard_Nash","Philadelphia",,,"United States"
"http://dbpedia.org/resource/N._Richard_Nash","United States",,,"United States"
"http://dbpedia.org/resource/Eliška_Krásnohorská","Prague",,,"Czechoslovakia"
"http://dbpedia.org/resource/Dorothy_Whipple","United Kingdom",,,"Blackburn"
"http://dbpedia.org/resource/Federico_Uruburu","Spain",,,"Portugal"
"http://dbpedia.org/resource/David_Burliuk","United States",,,"Long Island"
"http://dbpedia.org/resource/N._Richard_Nash","Pennsylvania",,,"Manhattan"
"http://dbpedia.org/resource/N._Richard_Nash","Philadelphia",,,"Manhattan"
"http://dbpedia.org/resource/N._Richard_Nash","United States",,,"Manhattan"
"http://dbpedia.org/resource/Jan_Beneš_(writer)","Prague",,,"Obořistě"
"http://dbpedia.org/resource/Jan_Beneš_(writer)","Prague",,,"Obořiště"
"http://dbpedia.org/resource/Mr._Yoga","Toronto","Canadian","http://dbpedia.org/resource/Canada",
"http://dbpedia.org/resource/Narinder_Singh_Kapoor","Rawalpindi","Indian","http://dbpedia.org/resource/India",
"http://dbpedia.org/resource/Chris_Valentino","New York City","American",,
"http://dbpedia.org/resource/Ronald_Ribman","New York City","American",,
"http://dbpedia.org/resource/Harold_H._Bloomfield","New York City","USA",,
"http://dbpedia.org/resource/David_Galloway_(writer)","Tennessee","American, German",,
"http://dbpedia.org/resource/David_Grann","New York City","American",,
"http://dbpedia.org/resource/David_Hair","New Zealand","New Zealander",,
"http://dbpedia.org/resource/David_Harris_Ebenbach","Philadelphia","American",,
"http://dbpedia.org/resource/Paula_Fox","New York City","American",,
"http://dbpedia.org/resource/Dorothy_Fadiman","Pennsylvania","United States",,
"http://dbpedia.org/resource/Suzy_McKee_Charnas","New York City","American",,
"http://dbpedia.org/resource/Maggie_Gee_(novelist)","United Kingdom","English",,
"http://dbpedia.org/resource/Elisha_Lim","Toronto","Canadian, Singaporean",,
"http://dbpedia.org/resource/Jim_C._Hines","Pennsylvania","United States",,
"http://dbpedia.org/resource/Karlous_Miller","United States","American",,
"http://dbpedia.org/resource/Louisa_Hall","Pennsylvania","American",,
"http://dbpedia.org/resource/Louisa_Hall","Philadelphia","American",,
"http://dbpedia.org/resource/Thomas_Piccirilli","New York City","American",,
"http://dbpedia.org/resource/Robert_Christgau","New York (state)","American",,
"http://dbpedia.org/resource/Robert_Christgau","New York City","American",,
"http://dbpedia.org/resource/Peter_Morgan","United Kingdom","British",,
"http://dbpedia.org/resource/Michael_Brodsky","New York City","American",,
"http://dbpedia.org/resource/Thierry_Acot-Mirande","Paris",,"http://dbpedia.org/resource/France",
"http://dbpedia.org/resource/Élisabeth_Gille","Paris",,"http://dbpedia.org/resource/France",
"http://dbpedia.org/resource/Spider_Robinson","New York (state)",,,
"http://dbpedia.org/resource/Joel_C._Rosenberg","New York (state)",,,
"http://dbpedia.org/resource/Robert_J._Wicks","New York (state)",,,
"http://dbpedia.org/resource/Shaun_Assael","New York (state)",,,
"http://dbpedia.org/resource/Jason_Katims","New York (state)",,,
"http://dbpedia.org/resource/Spider_Robinson","New York City",,,
"http://dbpedia.org/resource/David_Gonzalez_(journalist)","New York City",,,
"http://dbpedia.org/resource/David_Gordon_(novelist)","New York City",,,
"http://dbpedia.org/resource/Elizabeth_Alexander_(poet)","New York City",,,
"http://dbpedia.org/resource/Tom_Reiss","New York City",,,
"http://dbpedia.org/resource/Tracy_Kidder","New York City",,,
"http://dbpedia.org/resource/Mary_Anderson_(author)","New York City",,,
"http://dbpedia.org/resource/Shaun_Assael","New York City",,,
"http://dbpedia.org/resource/Siobhan_Vivian","New York City",,,
"http://dbpedia.org/resource/David_Silverman_(animator)","New York City",,,
"http://dbpedia.org/resource/Jason_Katims","New York City",,,
"http://dbpedia.org/resource/David_Gilbert_(author)","Paris",,,
"http://dbpedia.org/resource/Mark_Rosenthal","Philadelphia",,,
"http://dbpedia.org/resource/Lelord_Kordel","Poland",,,
"http://dbpedia.org/resource/Marina_Palei","Saint Petersburg",,,
"http://dbpedia.org/resource/Erin_Cressida_Wilson","San Francisco",,,
"http://dbpedia.org/resource/Dorothy_Bryant","San Francisco",,,
"http://dbpedia.org/resource/Sir_David_Graaff,_3rd_Baronet","South Africa",,,
"http://dbpedia.org/resource/Christian_Kracht","Switzerland",,,
"http://dbpedia.org/resource/Cory_Doctorow","Toronto",,,
"http://dbpedia.org/resource/Elizabeth_Arnold_(children's_writer)","United Kingdom",,,
"http://dbpedia.org/resource/Penelope_Skinner","United Kingdom",,,
"http://dbpedia.org/resource/Norma_Curtis","United Kingdom",,,
"http://dbpedia.org/resource/Robert_Moresco","United States",,,
"http://dbpedia.org/resource/Erin_Cressida_Wilson","United States",,,
"http://dbpedia.org/resource/Grant_Blackwood","United States",,,
"http://dbpedia.org/resource/Mark_Ethridge","United States",,,
"http://dbpedia.org/resource/Mark_Rosenthal","United States",,,
"http://dbpedia.org/resource/Dorothy_Garlock","United States",,,
"http://dbpedia.org/resource/Elizabeth_Alexander_(poet)","United States",,,
"http://dbpedia.org/resource/Ron_Clark_(writer)","United States",,,
"http://dbpedia.org/resource/Kevin_Brown_(poet)","United States",,,
"http://dbpedia.org/resource/LaNiyah_Bailey","United States",,,
"http://dbpedia.org/resource/Mikhail_Horowitz","United States",,,
"http://dbpedia.org/resource/Mia_Berner","Stavanger","Norwegian / Swedish","http://dbpedia.org/resource/Norway","Oslo"
"http://dbpedia.org/resource/L._du_Garde_Peach","Sheffield","British",,"Foolow"
"http://dbpedia.org/resource/Shūsaku_Endō","Tokyo","Japanese",,"Tokyo"
"http://dbpedia.org/resource/Simon_Frug","Ukraine","Russian",,"Odessa"
"http://dbpedia.org/resource/Helen_Hooven_Santmyer","Ohio","American",,"Ohio"
"http://dbpedia.org/resource/Helen_Hooven_Santmyer","Ohio","American",,"Xenia, Ohio"
"http://dbpedia.org/resource/James_Leasor","Kent","British",,"Wiltshire"
"http://dbpedia.org/resource/James_Leasor","Kent","British",,"Salisbury"
"http://dbpedia.org/resource/Oswalt_Kolle","Kiel",,"http://dbpedia.org/resource/Germany","Amsterdam"
"http://dbpedia.org/resource/Abolqasem_Lahouti","Iran",,,"Moscow"
"http://dbpedia.org/resource/Marija_Vojskovič","Austria-Hungary",,,"Maribor"
